mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.027191874999999997,0.02719675,total,flux,4.5363296284030297e-07,2.0327553909805617e-09,0.005,0.027194312499999998
1,1,2,0.027191874999999997,0.02719675,total,flux,4.160010828858386e-07,2.0304975626702944e-09,0.015,0.027194312499999998
1,1,3,0.0295075,0.029512374999999997,total,flux,3.8386391702132656e-07,2.0613517166574226e-09,0.025,0.0295099375
1,1,4,0.032291125,0.032296,total,flux,3.5474348126023747e-07,2.1731910891817754e-09,0.035,0.0322935625
1,1,5,0.032291125,0.032296,total,flux,3.282253897704693e-07,1.989729871681323e-09,0.045,0.0322935625
1,1,6,0.034319125,0.034324,total,flux,3.048355109723309e-07,2.0281982996013498e-09,0.055,0.0343215625
1,1,7,0.0381265,0.038131375,total,flux,2.832183155559081e-07,1.874447708033993e-09,0.065,0.0381289375
1,1,8,0.03932575,0.039330625,total,flux,2.635231597968038e-07,1.531402686723366e-09,0.075,0.0393281875
1,1,9,0.046024,0.046028875000000004,total,flux,2.4560869083933077e-07,1.3940816063679992e-09,0.085,0.0460264375
1,1,10,0.046024,0.046028875000000004,total,flux,2.300804413646253e-07,1.3186113255732958e-09,0.095,0.0460264375
1,1,11,0.044507875,0.044512750000000004,total,flux,2.1503097993036221e-07,1.4165862276347851e-09,0.105,0.0445103125
1,1,12,0.046024,0.046028875000000004,total,flux,2.0169096654575636e-07,1.3474006874517246e-09,0.115,0.0460264375
1,1,13,0.046024,0.046028875000000004,total,flux,1.8860808123193318e-07,1.2165592648774074e-09,0.125,0.0460264375
1,1,14,0.044507875,0.044512750000000004,total,flux,1.762735950318444e-07,1.332141638040861e-09,0.135,0.0445103125
1,1,15,0.0489685,0.048973375,total,flux,1.6555495565478714e-07,1.5856757994351884e-09,0.145,0.0489709375
1,1,16,0.0489685,0.048973375,total,flux,1.5575359359005815e-07,1.5746437183401755e-09,0.155,0.0489709375
1,1,17,0.0489685,0.048973375,total,flux,1.4637548514971275e-07,1.4796956709787153e-09,0.165,0.0489709375
1,1,18,0.051576625,0.0515815,total,flux,1.3739317149201145e-07,1.095913873454418e-09,0.175,0.0515790625
1,1,19,0.052771,0.052775875,total,flux,1.29121262459301e-07,1.1319620475253857e-09,0.185,0.0527734375
1,1,20,0.05590075,0.055905625,total,flux,1.2152554034707622e-07,8.077407947178893e-10,0.195,0.0559031875
1,1,21,0.06136075,0.061365625,total,flux,1.1472504618649901e-07,7.076441056690951e-10,0.205,0.0613631875
1,1,22,0.06136075,0.061365625,total,flux,1.0856846999907641e-07,7.376580087606395e-10,0.215,0.0613631875
1,1,23,0.06136075,0.061365625,total,flux,1.0275173552232725e-07,7.817449777079656e-10,0.225,0.0613631875
1,1,24,0.06136075,0.061365625,total,flux,9.743229913516147e-08,7.862576772088195e-10,0.235,0.0613631875
1,1,25,0.06136075,0.061365625,total,flux,9.233479012838756e-08,7.835990527930519e-10,0.245,0.0613631875
1,1,26,0.06136075,0.061365625,total,flux,8.697120659518854e-08,7.353235500170939e-10,0.255,0.0613631875
1,1,27,0.06136075,0.061365625,total,flux,8.232433562149797e-08,7.52344963058552e-10,0.265,0.0613631875
1,1,28,0.06136075,0.061365625,total,flux,7.77337682123111e-08,7.619124509055002e-10,0.275,0.0613631875
1,1,29,0.062194375,0.062199250000000005,total,flux,7.354793945582624e-08,8.196574930358419e-10,0.285,0.062196812500000004
1,1,30,0.062194375,0.062199250000000005,total,flux,6.973415401317638e-08,8.016186306993927e-10,0.295,0.062196812500000004
1,1,31,0.069633625,0.0696385,total,flux,6.601482392837357e-08,9.935490515112532e-10,0.305,0.06963606250000001
1,1,32,0.069633625,0.0696385,total,flux,6.243968997791527e-08,9.498475874206197e-10,0.315,0.06963606250000001
1,1,33,0.069633625,0.0696385,total,flux,5.9305827908587986e-08,8.608932801456942e-10,0.325,0.06963606250000001
1,1,34,0.0656605,0.065665375,total,flux,5.63571621233828e-08,9.334000581774289e-10,0.335,0.06566293749999999
1,1,35,0.07058425,0.070589125,total,flux,5.336699224753397e-08,8.039348867116529e-10,0.345,0.0705866875
1,1,36,0.07274875,0.072753625,total,flux,5.075268698789192e-08,5.847124440221401e-10,0.355,0.07275118750000001
1,1,37,0.07274875,0.072753625,total,flux,4.8160808122710036e-08,5.733227876449998e-10,0.365,0.07275118750000001
1,1,38,0.07274875,0.072753625,total,flux,4.5955090713066394e-08,5.655791658841677e-10,0.375,0.07275118750000001
1,1,39,0.07274875,0.072753625,total,flux,4.362853263627757e-08,5.56971009040202e-10,0.385,0.07275118750000001
1,1,40,0.07274875,0.072753625,total,flux,4.142846754542958e-08,5.398566226274438e-10,0.395,0.07275118750000001
1,1,41,0.083351875,0.08335675000000001,total,flux,3.9471409370338506e-08,5.50338296118795e-10,0.405,0.0833543125
1,1,42,0.083351875,0.08335675000000001,total,flux,3.7713151455747527e-08,5.49071915202826e-10,0.415,0.0833543125
1,1,43,0.083351875,0.08335675000000001,total,flux,3.600975679411355e-08,5.491462324588433e-10,0.425,0.0833543125
1,1,44,0.083351875,0.08335675000000001,total,flux,3.4229788129422255e-08,5.391538410089737e-10,0.435,0.0833543125
1,1,45,0.083351875,0.08335675000000001,total,flux,3.270829401036806e-08,5.201944361666013e-10,0.445,0.0833543125
1,1,46,0.083351875,0.08335675000000001,total,flux,3.121840210072766e-08,5.133286985040662e-10,0.455,0.0833543125
1,1,47,0.083351875,0.08335675000000001,total,flux,2.993221448493272e-08,5.605830444884296e-10,0.465,0.0833543125
1,1,48,0.08583325,0.085838125,total,flux,2.8573165296449167e-08,5.897917326726836e-10,0.475,0.08583568750000001
1,1,49,0.083351875,0.08335675000000001,total,flux,2.7253104930588598e-08,4.4074612451767844e-10,0.485,0.0833543125
1,1,50,0.083351875,0.08335675000000001,total,flux,2.6069567857707636e-08,4.661858551907823e-10,0.495,0.0833543125
1,1,51,0.083351875,0.08335675000000001,total,flux,2.5074064788108462e-08,4.885783542204097e-10,0.505,0.0833543125
1,1,52,0.083351875,0.08335675000000001,total,flux,2.3823831701182173e-08,4.613044879160103e-10,0.515,0.0833543125
1,1,53,0.083351875,0.08335675000000001,total,flux,2.2560203585191254e-08,4.642742770379618e-10,0.525,0.0833543125
1,1,54,0.08637925,0.086384125,total,flux,2.158612917250028e-08,5.070859379520773e-10,0.535,0.0863816875
1,1,55,0.092331625,0.0923365,total,flux,2.044448533571833e-08,4.617435043482725e-10,0.545,0.09233406250000001
1,1,56,0.0919075,0.091912375,total,flux,1.9724649770169426e-08,4.647356399748445e-10,0.555,0.09190993750000001
1,1,57,0.0919075,0.091912375,total,flux,1.8703799599894027e-08,4.1471847980139667e-10,0.565,0.09190993750000001
1,1,58,0.0919075,0.091912375,total,flux,1.7820287187629103e-08,4.066177008059722e-10,0.575,0.09190993750000001
1,1,59,0.0919075,0.091912375,total,flux,1.6994415175997243e-08,4.030121944883333e-10,0.585,0.09190993750000001
1,1,60,0.0919075,0.091912375,total,flux,1.629808303963618e-08,4.1358171485678466e-10,0.595,0.09190993750000001
1,1,61,0.0919075,0.091912375,total,flux,1.5639866099700308e-08,3.954982770617166e-10,0.605,0.09190993750000001
1,1,62,0.089416375,0.08942125,total,flux,1.4936993067845524e-08,3.738845943383013e-10,0.615,0.0894188125
1,1,63,0.0919075,0.091912375,total,flux,1.4283501164643826e-08,3.82676174363119e-10,0.625,0.09190993750000001
1,1,64,0.0919075,0.091912375,total,flux,1.3637435865488329e-08,3.679543828941195e-10,0.635,0.09190993750000001
1,1,65,0.0919075,0.091912375,total,flux,1.2952483387370015e-08,3.714818995631751e-10,0.645,0.09190993750000001
1,1,66,0.095666125,0.095671,total,flux,1.237010224129769e-08,3.450934970369825e-10,0.655,0.0956685625
1,1,67,0.09456925000000001,0.094574125,total,flux,1.1883517099040584e-08,3.1187741523694224e-10,0.665,0.0945716875
1,1,68,0.099429625,0.0994345,total,flux,1.1339544177009333e-08,3.878818784222752e-10,0.675,0.0994320625
1,1,69,0.099429625,0.0994345,total,flux,1.0920871967788572e-08,3.97860361862574e-10,0.685,0.0994320625
1,1,70,0.099429625,0.0994345,total,flux,1.0545393134429983e-08,3.962904816312752e-10,0.695,0.0994320625
1,1,71,0.099429625,0.0994345,total,flux,1.0040336052401522e-08,3.79394912047245e-10,0.705,0.0994320625
1,1,72,0.09554425,0.095549125,total,flux,9.936540411097131e-09,1.1011797607848094e-09,0.715,0.0955466875
1,1,73,0.094798375,0.09480325,total,flux,9.138398501655379e-09,3.2599686188275425e-10,0.725,0.0948008125
1,1,74,0.0999025,0.099907375,total,flux,8.734247823757473e-09,3.076312108263069e-10,0.735,0.09990493750000001
1,1,75,0.0984595,0.098464375,total,flux,8.432998450762896e-09,2.720823697594066e-10,0.745,0.09846193750000001
1,1,76,0.0984595,0.098464375,total,flux,8.11024609867044e-09,2.6934388845925346e-10,0.755,0.09846193750000001
1,1,77,0.0984595,0.098464375,total,flux,7.723345216702803e-09,2.478517287871839e-10,0.765,0.09846193750000001
1,1,78,0.0984595,0.098464375,total,flux,7.390654814539672e-09,2.439462555440559e-10,0.775,0.09846193750000001
1,1,79,0.0984595,0.098464375,total,flux,7.1098994781426265e-09,2.2630325640746328e-10,0.785,0.09846193750000001
1,1,80,0.0984595,0.098464375,total,flux,6.7960213998182365e-09,2.3003463150519655e-10,0.795,0.09846193750000001
1,1,81,0.0984595,0.098464375,total,flux,6.547731630318366e-09,2.2096870563283717e-10,0.805,0.09846193750000001
1,1,82,0.099546625,0.0995515,total,flux,6.287623656345974e-09,2.841131209813873e-10,0.815,0.09954906250000001
1,1,83,0.097582,0.097586875,total,flux,5.996401521303567e-09,2.2185304168931264e-10,0.825,0.09758443750000001
1,1,84,0.097582,0.097586875,total,flux,5.7387171892473065e-09,2.2051431158252707e-10,0.835,0.09758443750000001
1,1,85,0.097582,0.097586875,total,flux,5.526862607927906e-09,2.2478593882541652e-10,0.845,0.09758443750000001
1,1,86,0.097582,0.097586875,total,flux,5.346618450865769e-09,2.031571899256563e-10,0.855,0.09758443750000001
1,1,87,0.097582,0.097586875,total,flux,5.122574978847363e-09,1.9074402678673992e-10,0.865,0.09758443750000001
1,1,88,0.097582,0.097586875,total,flux,4.8912960392507456e-09,2.0155246206495692e-10,0.875,0.09758443750000001
1,1,89,0.097582,0.097586875,total,flux,4.643085328523822e-09,2.0385460600173181e-10,0.885,0.09758443750000001
1,1,90,0.09961,0.099614875,total,flux,4.4166441669697085e-09,1.867641365482416e-10,0.895,0.09961243750000001
1,1,91,0.098152375,0.09815725,total,flux,4.2363106485279564e-09,2.7494628992625083e-10,0.905,0.0981548125
1,1,92,0.096095125,0.0961,total,flux,4.086365614460056e-09,2.0669564163011872e-10,0.915,0.09609756250000001
1,1,93,0.099507625,0.0995125,total,flux,4.170344732073413e-09,7.053207830311825e-10,0.925,0.0995100625
1,1,94,0.096095125,0.0961,total,flux,3.725427200697834e-09,2.1605441092062513e-10,0.935,0.09609756250000001
1,1,95,0.097582,0.097586875,total,flux,3.591752265776545e-09,1.8838022350398084e-10,0.945,0.09758443750000001
1,1,96,0.099429625,0.0994345,total,flux,3.4627301585426537e-09,2.602523858560241e-10,0.955,0.0994320625
1,1,97,0.09950275,0.099507625,total,flux,3.3479984007891914e-09,1.798071610570411e-10,0.965,0.09950518750000001
1,1,98,0.09950275,0.099507625,total,flux,3.220494559715652e-09,1.7392717248185283e-10,0.975,0.09950518750000001
1,1,99,0.09950275,0.099507625,total,flux,3.107362474859852e-09,1.7422592911713516e-10,0.985,0.09950518750000001
1,1,100,0.09950275,0.099507625,total,flux,2.9762211487498776e-09,1.715867586535408e-10,0.995,0.09950518750000001
1,1,101,0.09950275,0.099507625,total,flux,2.8746128528954042e-09,1.641619086930245e-10,1.005,0.09950518750000001
1,1,102,0.09950275,0.099507625,total,flux,2.753151209853127e-09,1.601710024190045e-10,1.015,0.09950518750000001
1,1,103,0.09950275,0.099507625,total,flux,2.6168817555323075e-09,1.6056110618819576e-10,1.025,0.09950518750000001
1,1,104,0.09965875,0.099663625,total,flux,2.4886757916892345e-09,1.4971524026103413e-10,1.035,0.0996611875
1,1,105,0.096841,0.096845875,total,flux,2.4298315625556465e-09,1.7984255540440667e-10,1.045,0.09684343749999999
1,1,106,0.09894700000000001,0.098951875,total,flux,2.349494414008575e-09,1.760316231283476e-10,1.055,0.0989494375
