mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
1,0.005,0.07616757581438839,0.009615490766831852,1.0880071428694756e-06,5.7157863187429314e-08,7.9213404350742636,4758.766375038104,0.0144998125,0.0256196875
2,0.015,0.06909536919650086,0.008890352917833983,1.1373211255611504e-06,9.665152340242672e-08,7.771948969303126,4669.0190538799925,0.016464437499999998,0.027428312499999996
3,0.025,0.06288911504929212,0.008231219174122024,1.2089824830489465e-06,1.1999802355587606e-07,7.64031593849524,4589.940159848462,0.016464437499999998,0.027428312499999996
4,0.035,0.05739408346905907,0.007630292492854291,1.301984740152308e-06,1.4518221715991532e-07,7.521872001998374,4518.784649370373,0.016464437499999998,0.028944437499999996
5,0.045,0.05249861614251193,0.0070811752769228044,1.353400719063605e-06,1.4593262700113368e-07,7.413828084951136,4453.876978290462,0.019170062499999998,0.029017562499999996
6,0.055,0.048117027054016305,0.006578442335039478,1.4955011357822596e-06,1.6409077552469058e-07,7.314349598798687,4394.115012645625,0.019170062499999998,0.032912687499999996
7,0.065,0.044178236362327636,0.006117121481258333,1.5885518164991369e-06,1.717170803107339e-07,7.222062942133998,4338.673557730237,0.020071937499999998,0.032912687499999996
8,0.075,0.04062696918104029,0.0056932777150462575,1.4358884484134619e-06,1.671839667666283e-07,7.135954227855579,4286.9435181662875,0.0203985625,0.0339705625
9,0.085,0.037414927733658496,0.005303160740433041,1.2835837771222737e-06,1.5900991522360648e-07,7.055212837203818,4238.437912573815,0.023343062499999997,0.0339705625
10,0.095,0.03450264740832737,0.004943663297588119,1.341957096565111e-06,1.750368165257268e-07,6.979166122652464,4192.752646158963,0.023343062499999997,0.0339705625
11,0.105,0.0318563997929778,0.004611979450656845,1.3767086198148996e-06,1.7993205000773118e-07,6.907316074107999,4149.588538030961,0.027428312499999996,0.0347603125
12,0.115,0.02944643628214113,0.004305541422290374,1.2241554326857032e-06,1.716553649549711e-07,6.839194747887668,4108.664469775426,0.027428312499999996,0.0347603125
13,0.125,0.027247324373576715,0.004022095900266237,1.2675207967566238e-06,1.8146507387349292e-07,6.774409424641793,4069.744514196525,0.027428312499999996,0.0369930625
