mesh 1_x,mesh 1_y,mesh 1_z,energy low [eV],energy high [eV],nuclide,score,mean,std. dev.,z mid [cm],energy mid [eV]
1,1,1,0.002514625,0.0025195,total,"(n,p)",1.7274187363541474e-06,6.17989572039218e-09,0.005,0.0025170625
1,1,2,0.002514625,0.0025195,total,"(n,p)",1.6796243704307235e-06,6.0960703809454675e-09,0.015,0.0025170625
1,1,3,0.002514625,0.0025195,total,"(n,p)",1.6334858697621048e-06,6.067886747731569e-09,0.025,0.0025170625
1,1,4,0.002539,0.002543875,total,"(n,p)",1.5873947398829682e-06,5.756729150489791e-09,0.035,0.0025414375000000003
1,1,5,0.002539,0.002543875,total,"(n,p)",1.5437080027421908e-06,5.750860104672327e-09,0.045,0.0025414375000000003
1,1,6,0.002621875,0.00262675,total,"(n,p)",1.501393234696548e-06,6.89505494592948e-09,0.055,0.0026243125
1,1,7,0.002621875,0.00262675,total,"(n,p)",1.461136294620594e-06,6.928260126941702e-09,0.065,0.0026243125
1,1,8,0.003041125,0.003046,total,"(n,p)",1.4222149689092833e-06,6.189034402704292e-09,0.075,0.0030435625000000003
1,1,9,0.0030557500000000003,0.003060625,total,"(n,p)",1.3866442844903445e-06,5.622571131715563e-09,0.085,0.0030581875
1,1,10,0.003060625,0.0030655,total,"(n,p)",1.3518538056561847e-06,6.076576426270678e-09,0.095,0.0030630625
1,1,11,0.003060625,0.0030655,total,"(n,p)",1.3186605801860083e-06,5.92923585497066e-09,0.105,0.0030630625
1,1,12,0.00389425,0.003899125,total,"(n,p)",1.2866305260914957e-06,5.869686826300726e-09,0.115,0.0038966875
1,1,13,0.00389425,0.003899125,total,"(n,p)",1.2572672377286085e-06,5.783933833804946e-09,0.125,0.0038966875
1,1,14,0.00389425,0.003899125,total,"(n,p)",1.2298792994105158e-06,5.8114683880924335e-09,0.135,0.0038966875
1,1,15,0.00389425,0.003899125,total,"(n,p)",1.2024616266271934e-06,5.7174047268130074e-09,0.145,0.0038966875
1,1,16,0.0045474999999999995,0.004552375,total,"(n,p)",1.1754904978717048e-06,5.555223592900429e-09,0.155,0.0045499375
1,1,17,0.004484125,0.004489,total,"(n,p)",1.151169825720709e-06,4.119978781488249e-09,0.165,0.0044865625
1,1,18,0.00502525,0.005030125,total,"(n,p)",1.1291025409111546e-06,4.09987058587436e-09,0.175,0.0050276875
1,1,19,0.00502525,0.005030125,total,"(n,p)",1.1071516315325575e-06,4.09748119382615e-09,0.185,0.0050276875
1,1,20,0.00502525,0.005030125,total,"(n,p)",1.0860306683770922e-06,3.966183251695892e-09,0.195,0.0050276875
1,1,21,0.00502525,0.005030125,total,"(n,p)",1.0648653433424344e-06,4.056197530183141e-09,0.205,0.0050276875
1,1,22,0.00502525,0.005030125,total,"(n,p)",1.0435964404401059e-06,4.150873870614642e-09,0.215,0.0050276875
1,1,23,0.00502525,0.005030125,total,"(n,p)",1.0238585715926273e-06,4.097726180197994e-09,0.225,0.0050276875
1,1,24,0.00502525,0.005030125,total,"(n,p)",1.0041190095209467e-06,3.939919403431986e-09,0.235,0.0050276875
1,1,25,0.00502525,0.005030125,total,"(n,p)",9.83998875464966e-07,3.964106072838453e-09,0.245,0.0050276875
1,1,26,0.00502525,0.005030125,total,"(n,p)",9.645778776826066e-07,3.99999545037536e-09,0.255,0.0050276875
