Depth_cm,Unreacted_Fraction
0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000069e-02,8.856913212266809277e-01
2.500000000000000139e-02,7.887040056587627523e-01
3.750000000000000555e-02,7.052238225470134347e-01
5.000000000000000278e-02,6.326922260638601081e-01
6.250000000000000000e-02,5.692389364282923747e-01
7.499999999999999722e-02,5.134252147862318205e-01
8.750000000000000833e-02,4.641090094438805602e-01
1.000000000000000056e-01,4.203621349666593066e-01
1.125000000000000028e-01,3.814227639273334303e-01
1.250000000000000000e-01,3.466606363584006090e-01
1.375000000000000111e-01,3.155479725323228068e-01
1.500000000000000222e-01,2.876330567265023008e-01
1.625000000000000333e-01,2.625319534552850165e-01
1.750000000000000167e-01,2.399141434251761407e-01
1.875000000000000278e-01,2.194950037077261218e-01
2.000000000000000111e-01,2.010306635678419385e-01
2.125000000000000222e-01,1.843085347124112650e-01
2.250000000000000333e-01,1.691426933765445284e-01
2.375000000000000167e-01,1.553679993302384821e-01
2.500000000000000000e-01,1.428388393116362121e-01
2.625000000000000111e-01,1.314286528448831426e-01
2.750000000000000222e-01,1.210252189023713898e-01
2.875000000000000333e-01,1.115296027039855975e-01
3.000000000000000444e-01,1.028550635225414789e-01
3.125000000000000555e-01,9.492279909610878974e-02
3.250000000000000111e-01,8.766120896674167717e-02
3.375000000000000222e-01,8.100839255750458268e-02
3.500000000000000333e-01,7.490854247250400277e-02
3.625000000000000444e-01,6.931051104760377335e-02
3.750000000000000555e-01,6.416828292277299006e-02
3.875000000000000111e-01,5.944179499430790603e-02
4.000000000000000222e-01,5.509405574806935935e-02
4.125000000000000333e-01,5.109164366482932262e-02
4.250000000000000444e-01,4.740483343456325382e-02
4.375000000000000555e-01,4.400680940662793361e-02
4.500000000000000111e-01,4.087187396164726483e-02
4.625000000000000222e-01,3.797781717930603929e-02
4.750000000000000333e-01,3.530490819234355371e-02
4.875000000000000444e-01,3.283424528636347262e-02
5.000000000000000000e-01,3.054956490526761215e-02
5.124999999999999556e-01,2.843574060840980966e-02
5.250000000000000222e-01,2.647890843122335802e-02
5.374999999999999778e-01,2.466661541407133562e-02
5.499999999999999334e-01,2.298763663335623431e-02
5.625000000000000000e-01,2.143121079684884300e-02
5.749999999999999556e-01,1.998771733974236131e-02
5.875000000000000222e-01,1.864833764528095461e-02
5.999999999999999778e-01,1.740509341526053078e-02
6.125000000000000444e-01,1.625067931905943563e-02
6.250000000000000000e-01,1.517829702206296982e-02
6.374999999999999556e-01,1.418164779687547394e-02
6.500000000000000222e-01,1.325496614827392783e-02
6.624999999999999778e-01,1.239284123164596796e-02
6.750000000000000444e-01,1.159022655432639937e-02
6.875000000000000000e-01,1.084266127172384131e-02
6.999999999999999556e-01,1.014614508242184243e-02
7.125000000000000222e-01,9.496893747690471344e-03
7.249999999999999778e-01,8.891627302781923703e-03
7.375000000000000444e-01,8.327222113688748095e-03
7.500000000000000000e-01,7.800630412059583740e-03
7.624999999999999556e-01,7.309226538533053485e-03
7.750000000000000222e-01,6.850723857487750479e-03
7.874999999999999778e-01,6.422595932818131459e-03
8.000000000000000444e-01,6.022581367782109396e-03
8.125000000000000000e-01,5.649026525121891851e-03
8.249999999999999556e-01,5.299925965839058506e-03
8.375000000000000222e-01,4.973358408403516506e-03
8.499999999999999778e-01,4.667952370979500110e-03
8.625000000000000444e-01,4.382080313848679687e-03
8.750000000000000000e-01,4.114530507932534498e-03
8.874999999999999556e-01,3.864128046400461258e-03
